problem,crossover,bit_length,mu,lambda,seed,fitness_evaluations,iterations,final_fitness,reached_optimum,elapsed_seconds
leadingones,two_point,100,5,25,31,9205,368,100,True,0.07966780662536621
leadingones,two_point,100,5,25,32,9980,399,100,True,0.08576512336730957
leadingones,two_point,100,5,25,33,8455,338,100,True,0.072235107421875
leadingones,two_point,100,5,25,34,9580,383,100,True,0.08108901977539062
leadingones,two_point,100,5,25,35,9380,375,100,True,0.07961702346801758
leadingones,two_point,100,5,25,36,10130,405,100,True,0.08490395545959473
leadingones,two_point,100,5,25,37,11255,450,100,True,0.0964510440826416
leadingones,two_point,100,5,25,38,11980,479,100,True,0.10187864303588867
leadingones,two_point,100,5,25,39,13330,533,100,True,0.11305403709411621
leadingones,two_point,100,5,25,40,8230,329,100,True,0.07048821449279785
leadingones,two_point,100,5,25,41,7605,304,100,True,0.06427526473999023
leadingones,two_point,100,5,25,42,10980,439,100,True,0.0939781665802002
leadingones,two_point,100,5,25,43,8705,348,100,True,0.07276320457458496
leadingones,two_point,100,5,25,44,8580,343,100,True,0.0732431411743164
leadingones,two_point,100,5,25,45,9605,384,100,True,0.08190727233886719
leadingones,two_point,100,5,25,46,9555,382,100,True,0.0816032886505127
leadingones,two_point,100,5,25,47,11480,459,100,True,0.0991971492767334
leadingones,two_point,100,5,25,48,9005,360,100,True,0.07808518409729004
leadingones,two_point,100,5,25,49,8780,351,100,True,0.07598519325256348
leadingones,three_point,100,5,25,0,10280,411,100,True,0.09758901596069336
leadingones,three_point,100,5,25,1,9305,372,100,True,0.0848541259765625
leadingones,three_point,100,5,25,2,8430,337,100,True,0.07844710350036621
leadingones,three_point,100,5,25,3,9180,367,100,True,0.08626294136047363
leadingones,three_point,100,5,25,4,10080,403,100,True,0.09305119514465332
leadingones,three_point,100,5,25,5,9380,375,100,True,0.0886998176574707
leadingones,three_point,100,5,25,6,8705,348,100,True,0.08125686645507812
leadingones,three_point,100,5,25,7,10980,439,100,True,0.1020810604095459
leadingones,three_point,100,5,25,8,9080,363,100,True,0.08458876609802246
leadingones,three_point,100,5,25,9,9080,363,100,True,0.08466386795043945
leadingones,three_point,100,5,25,10,14305,572,100,True,0.13390493392944336
leadingones,three_point,100,5,25,11,7455,298,100,True,0.06914997100830078
leadingones,three_point,100,5,25,12,10155,406,100,True,0.09398603439331055
leadingones,three_point,100,5,25,13,10555,422,100,True,0.09878706932067871
leadingones,three_point,100,5,25,14,9880,395,100,True,0.09278488159179688
leadingones,three_point,100,5,25,15,7230,289,100,True,0.06820082664489746
leadingones,three_point,100,5,25,16,7005,280,100,True,0.06564998626708984
leadingones,three_point,100,5,25,17,9280,371,100,True,0.08682632446289062
leadingones,three_point,100,5,25,18,9105,364,100,True,0.08461380004882812
leadingones,three_point,100,5,25,19,9530,381,100,True,0.08999490737915039
leadingones,three_point,100,5,25,20,11930,477,100,True,0.14105820655822754
leadingones,three_point,100,5,25,21,11955,478,100,True,0.11223292350769043
leadingones,three_point,100,5,25,22,10605,424,100,True,0.09926724433898926
leadingones,three_point,100,5,25,23,9305,372,100,True,0.08678126335144043
leadingones,three_point,100,5,25,24,8255,330,100,True,0.07678604125976562
leadingones,three_point,100,5,25,25,7755,310,100,True,0.07315897941589355
leadingones,three_point,100,5,25,26,9305,372,100,True,0.08595991134643555
leadingones,three_point,100,5,25,27,11480,459,100,True,0.1073768138885498
leadingones,three_point,100,5,25,28,10330,413,100,True,0.09643197059631348
leadingones,three_point,100,5,25,29,10980,439,100,True,0.10379290580749512
leadingones,three_point,100,5,25,30,10705,428,100,True,0.10054492950439453
leadingones,three_point,100,5,25,31,9030,361,100,True,0.08489489555358887
leadingones,three_point,100,5,25,32,7880,315,100,True,0.07356619834899902
leadingones,three_point,100,5,25,33,7530,301,100,True,0.07023382186889648
leadingones,three_point,100,5,25,34,7130,285,100,True,0.06639814376831055
leadingones,three_point,100,5,25,35,9180,367,100,True,0.08585715293884277
leadingones,three_point,100,5,25,36,8880,355,100,True,0.08296704292297363
leadingones,three_point,100,5,25,37,6455,258,100,True,0.06131386756896973
leadingones,three_point,100,5,25,38,6930,277,100,True,0.06425189971923828
